Country,Currency,Exchange rate,Price perception,Avg rent local,Avg rent usd,Apples qty,Apples price local,apples per unit usd,Bananas qty,Bananas price local,bananas per unit USD,Tomatoes qty,Tomatoes price local,tomatoes per unit USD,Potatoes qty,Potatoes price local,potatoes per unit USD,Flour qty,Flour price local,flour per unit USD,Rice qty,Rice price local,rice per unit USD,Milk qty,Milk price local,milk per unit USD,Butter qty,Butter price local,butter per unit USD,Eggs qty,Eggs price local,eggs per unit USD,Chicken qty,Chicken price local,chicken per unit USD
USA (San Francisco),USD,1,Budget (cheap),2800,2800,1.36,5.39,3.963235294,1,1.29,1.29,1,2.8,2.8,2.26,3.97,1.756637168,2.26,5.56,2.460176991,0.9,5.41,6.011111111,0.9,4.99,5.544444444,0.45,2.99,6.644444444,12,6.99,0.5825,0.9,6.19,6.877777778
USA (San Francisco),USD,1,Budget (cheap),2800,2800,1.36,6.39,4.698529412,1,1.49,1.49,1,2.1,2.1,2.26,3.47,1.53539823,2.26,5.29,2.340707965,0.9,4.1,4.555555556,0.9,6.25,6.944444444,0.45,4.19,9.311111111,12,5.49,0.4575,0.9,6.55,7.277777778
USA (San Francisco),USD,1,Mid-range,3500,3500,2.49,12.43,4.991967871,1.36,2.1,1.544117647,1,8.08,8.08,4.53,8.07,1.781456954,1.36,12.21,8.977941176,9.07,19.89,2.192943771,7.57,7.89,1.042272127,0.453,8.5,18.76379691,48,5.48,0.114166667,1,3.6,3.6
USA (San Francisco),USD,1,Mid-range,3500,3500,2.49,16.16,6.489959839,1.36,2.48,1.823529412,1,8.7,8.7,4.53,10.56,2.331125828,1.36,11.28,8.294117647,9.07,29.6,3.263506064,7.57,7.21,0.952443857,0.453,8.08,17.83664459,48,4.96,0.103333333,1,3.72,3.72
USA (San Francisco),USD,1,Mid-range,3500,3500,2.49,20.51,8.236947791,1.36,2.69,1.977941176,1,9.94,9.94,4.53,9,1.986754967,1.36,14.67,10.78676471,9.07,21.5,2.37045204,7.57,6.95,0.918097754,0.453,8.7,19.20529801,48,9.32,0.194166667,1,6.21,6.21
United States,USD,1,Mid-range,2880,2880,0.45,1.99,4.422222222,0.45,0.79,1.755555556,0.45,3.99,8.866666667,0.45,1.79,3.977777778,2.27,6.99,3.079295154,0.9,3.99,4.433333333,3.78,5.99,1.584656085,0.23,4.99,21.69565217,12,2.99,0.249166667,2.3,30.43,13.23043478
United States,USD,1,Mid-range,2880,2880,0.45,2.49,5.533333333,0.45,0.99,2.2,0.45,2.29,5.088888889,0.45,1.29,2.866666667,2.26,3.99,1.765486726,2.27,7.99,3.519823789,1.89,3.49,1.846560847,0.45,8.39,18.64444444,18,5.49,0.305,0.7,12.05,17.21428571
United States,USD,1,Mid-range,2880,2880,0.45,2.99,6.644444444,0,0,#DIV/0!,0.45,3.49,7.755555556,2.3,5,2.173913043,2.27,2.99,1.317180617,0.9,5.49,6.1,1.89,2.79,1.476190476,0.45,5.99,13.31111111,30,12.59,0.419666667,0.45,9.49,21.08888889
USA,USD,1,Luxury (expensive),2595,2595,1.36,6.99,5.139705882,0.45,1.34,2.977777778,0.45,2.99,6.644444444,2.37,6.99,2.949367089,2.27,7.19,3.167400881,0.9,5.79,6.433333333,1.89,2.79,1.476190476,0.45,4.89,10.86666667,12,5.19,0.4325,0.45,3.6,8
USA,USD,1,Luxury (expensive),2595,2595,0.45,6.99,15.53333333,0.45,0.79,1.755555556,0.28,2.99,10.67857143,1.36,6.99,5.139705882,2.27,9.29,4.092511013,9.07,35.85,3.952590959,3.78,5.49,1.452380952,0.45,8.99,19.97777778,12,8.49,0.7075,0,0,#DIV/0!
USA,USD,1,Luxury (expensive),2595,2595,0.45,1.7,3.777777778,0,0,#DIV/0!,0.45,3.99,8.866666667,0.45,1.49,3.311111111,2.27,12.99,5.72246696,4.53,20.89,4.611479029,0.47,1.09,2.319148936,0.45,4.79,10.64444444,12,3.49,0.290833333,0,0,#DIV/0!
United States,USD,1,Budget (cheap),1934,1934,0.45,1.69,3.755555556,0.45,0.65,1.444444444,0.45,0.98,2.177777778,0.45,0.99,2.2,0.45,0.67,1.488888889,0.45,2.19,4.866666667,3.8,3.99,1.05,0.45,3.79,8.422222222,12,6.49,0.540833333,0.45,2.79,6.2
United States,USD,1,Budget (cheap),1934,1934,0.45,0.98,2.177777778,0.45,0.75,1.666666667,0.45,2.49,5.533333333,0.45,1.49,3.311111111,2.3,5.29,2.3,0.45,1.79,3.977777778,1.9,2.99,1.573684211,0.45,3.79,8.422222222,12,4.49,0.374166667,0.45,4.99,11.08888889
United States,USD,1,Budget (cheap),1934,1934,0.45,1.69,3.755555556,0.45,0.65,1.444444444,0.45,1.25,2.777777778,0.45,1.99,4.422222222,2.3,3.59,1.560869565,0.45,1.49,3.311111111,3.8,3.99,1.05,0.2,9.99,49.95,18,4.19,0.232777778,0.45,4.47,9.933333333
United States,USD,1,Luxury (expensive),2923,2923,0.45,3.49,7.755555556,0.45,1.79,3.977777778,0.45,2.99,6.644444444,0.45,1.49,3.311111111,1,3.99,3.99,0.9,8.99,9.988888889,1.9,4.99,2.626315789,0.45,5.99,13.31111111,12,5.99,0.499166667,0.45,5.99,13.31111111
United States,USD,1,Luxury (expensive),2923,2923,0.45,3.49,7.755555556,0.45,1.79,3.977777778,0.45,5.99,13.31111111,0.45,1.99,4.422222222,2.2,7.99,3.631818182,0.99,8.99,9.080808081,1.9,5.99,3.152631579,0.45,5.99,13.31111111,12,3.99,0.3325,0.45,9.99,22.2
United States,USD,1,Luxury (expensive),2923,2923,0.45,4.99,11.08888889,0.45,1.79,3.977777778,0.45,5.99,13.31111111,0.45,2.99,6.644444444,1,3.99,3.99,0.99,8.99,9.080808081,3.8,8.99,2.365789474,0.45,4.99,11.08888889,12,7.49,0.624166667,0.45,9.99,22.2
Kenya,KES,0.0091,Mid-range,50000,455,0.6,220,3.336666667,1,95,0.8645,1,75,0.6825,1,99,0.9009,2,99,0.45045,5,1099,2.00018,0.5,43,0.7826,0.25,302,10.9928,15,259,0.157126667,1,750,6.825
Kenya,KES,0.0091,Mid-range,50000,455,0.1,35,3.185,0,0,#DIV/0!,0,0,#DIV/0!,1,189,1.7199,1,70,0.637,2,400,1.82,6,600,0.91,0.25,489,17.7996,6,95,0.144083333,1,700,6.37
Kenya,KES,0.0091,Mid-range,50000,455,0.4,150,3.4125,0,0,#DIV/0!,0,0,#DIV/0!,1,75,0.6825,2,133,0.60515,2,282,1.2831,6,540,0.819,0.25,234,8.5176,30,427,0.129523333,0,0,#DIV/0!
Brazil,BRL,0.18,Mid-range,800,144,1,16.39,2.9502,1,7.19,1.2942,1,6.99,1.2582,1,5.99,1.0782,1,4.79,0.8622,1,4.98,0.8964,1,4.98,0.8964,0.2,9.89,8.901,12,6.79,0.10185,1,11.99,2.1582
Brazil,BRL,0.18,Mid-range,800,144,1,13.99,2.5182,1,3.99,0.7182,1,8.19,1.4742,1,5.99,1.0782,1,3.7,0.666,5,21.95,0.7902,1,4.49,0.8082,0.2,12.9,11.61,12,8.59,0.12885,1,14.9,2.682
Brazil,BRL,0.18,Mid-range,800,144,1,15.99,2.8782,1,8.59,1.5462,0,0,#DIV/0!,0,0,#DIV/0!,1,3.59,0.6462,5,26.9,0.9684,1,4.59,0.8262,0.2,10.98,9.882,12,7.69,0.11535,1,15.5,2.79
